text,label
"l’enveloppe globale d’augmentation des rémunérations 2023 est fixée à 5,6 %.article i - : augmentations individuelles l’enveloppe des augmentations individuelles, fixée au 1er janvier 2023, correspond à : 0,5 % pour les salariés employés, ouvriers et maîtrises de qualification ; 1,1 % pour les salariés maîtrises d’encadrement ; 1,35 % pour les salariés cadres. article ii – : augmentations collectives ii – a : employés, ouvriers et maîtrises de qualification les augmentations collectives, au titre de 2023, sont de 5,1 %, décomposées ainsi : 0,35 % au titre de l’ancienneté, résultant des dispositions de l’article 45 de la convention collective inter-entreprises du 1er juin 1979 ; 3,9 % au titre de l’augmentation de la valeur du point, qui sera portée à 6,9157 € ; 0,85 % au titre de la revalorisation de l’indice de base. ii – b : maîtrises d’encadrement les augmentations collectives, au titre de 2023, sont de 4,5 %, décomposées ainsi : 0,35 % au titre de l’ancienneté, résultant des dispositions de l’article 45 de la convention collective inter-entreprises du 1er juin 1979 ; 3,9 % au titre de l’augmentation de la valeur du point, qui sera portée à 6,9157 € ; 0,25 % au titre de la revalorisation de l’indice de base. ii – c : cadres les augmentations collectives, au titre de 2023, sont de 4,25 %, décomposées ainsi : 0,35 % au titre de l’ancienneté, résultant des dispositions de l’article 45 de la convention collective inter-entreprises du 1er juin 1979 ; 3,9 % au titre de l’augmentation de la valeur du point, qui sera portée à 6,9157 €. ii – d : modalités de mise en œuvre ii – d – 1 : augmentations individuelles les augmentations individuelles et primes des salariés employés, ouvriers, maîtrises de qualification et maîtrises d’encadrement seront versées sur la paie de février 2023, avec effet rétroactif au 1er janvier 2023. les augmentations individuelles et primes des salariés cadres seront versées sur la paie d’avril 2023, avec effet rétroactif au 1er janvier 2023. ii – d – 2 : augmentations collectives au titre de 2023, l’augmentation de la valeur du point est fixée à 3,9 %. elle sera mise en œuvre comme suit : une augmentation, par anticipation, qui porte la valeur du point à 6,7559 € dès le 1er novembre 2022 (soit + 1,5 %). elle sera prise en compte sur la paie de novembre 2022. une augmentation complémentaire qui portera la valeur du point à 6,9157 € à compter du 1er janvier 2023.",3.0
"nous travaillons sur une politique de rémunération actuellement (audit en cours au sein de la société).  avantages : mettre en place d’une prime semi de 13ème mois (c.f.t.c) généraliser l'avantage de 22.11€ aux salariés travaillant de jour au titre de l'égalité de traitement (travail égal, salaire égal) (c.f.t.c) augmentation de la prime de non accident : 150€ (c.f.t.c) les jours rtt seront déposés de la même manière que les rc (c.f.t.c) fixer une prime forfaitaire de 50€ pour tout salarié effectuant 660 heures ou plus par trimestre (c.f.t.c) demande d’une prime de 10€ par trimestre pour chaque salarié en cas d’absence d’accident de travail dans l’établissement (c.f.t.c) augmentation des salaires de base de 4% suite à l’inflation (moyenne prix à la consommation sur 2022 est 5.8% d’après l’insee à juin 2022) (c.f.e / c.g.c) prime de partage de la valeur de 500€ versée à la fin de l’année pour les salariés (c.f.e / c.g.c) la direction répond défavorablement à l’ensemble de ces propositions. prise en charge des tickets restaurant à hauteur de 60% par l’entreprise (c.f.e / c.g.c) a partir du 01/01/2023 : l’employeur cotisera à hauteur de 59,20 % soit 5.92€ par ticket restaurant d’une valeur faciale de 10 € le salarié cotisera à hauteur de 40,80 % soit 4.08€ par ticket restaurant d’une valeur faciale de 10 € prime astreinte sédentaires pour les weekends et jours fériés de 100€ par jour ou paiement des heures effectuées (c.f.e / c.g.c) la direction répond défavorablement égalité professionnelle : égaliser la rémunération brute entres salariés de la même catégorie (c.f.t.c) la rémunération conventionnelle est déjà égalisée entre hommes et femmes. nous espérons ainsi contenir l’augmentation aux alentours de 8% (hors pmss) pour le contrat principal du groupe jardel non cadre. les résultats de cet appel d’offre seront connus avant la fin du mois de décembre 2022.          ",4.0
"mesure d’augmentation perenne 1.1 - bénéficiaires une augmentation pérenne sera attribuée aux salariés du gie bnp paribas cardif rémunérés par l’entreprise à la date de signature du présent accord et à la date du 1er janvier 2023. seront exclus du bénéfice de cette mesure les stagiaires d’études, les auxiliaires de vacances, les impatriés ainsi que les salariés dont la rémunération fixe annuelle brute à temps plein est égale ou supérieure à 90 000 euros au 31 décembre 2022. en seront également exclus, pour des raisons réglementaires, les salariés en contrat de professionnalisation ou en contrat d’apprentissage.   1.2 - modalités d’attribution cette mesure d’augmentation pérenne est fixée à au moins 4% pour tous les collaborateurs dont la rémunération fixe annuelle va jusqu'à 30 000€ bruts, avec un plancher à 1 200€ bruts au moins 3% pour tous les collaborateurs dont la rémunération fixe annuelle se situe de plus de 30 000€ jusqu’à 40 000€ bruts, également avec un plancher à 1 200€ bruts 3% pour tous les collaborateurs dont la rémunération fixe annuelle se situe de plus de 40 000€ jusqu’à 90 000€ bruts, avec un plafond à 2 000€ bruts *montants pour un bénéficiaire travaillant à temps plein. elle s’appliquera à effet du 1er janvier 2023. 1.3 - mobilités au sein du groupe bnp paribas il est convenu que sera examinée avec attention la situation des salariés qui, du fait d’une mobilité (dans le cadre d’un détachement ou d’un transfert) au sein du groupe paribas, ne seraient pas éligibles aux dispositions arrêtées pour 2023 au titre de la négociation annuelle sur la rémunération réalisée dans le cadre de l’article l2242-15 du code du travail ni dans leur société d’accueil ni dans leur société d’origine. article 2 – enveloppe budgetaire specifique pour soutenir l’egalite professionnelle entre les femmes et les hommes dans le cadre de la politique de l’entreprise en faveur de l’égalité professionnelle entre les femmes et les hommes, un budget spécifique de 200 000 euros a été décidé pour chacune des trois prochaines années. ce budget spécifique accompagnera l’action menée par l’entreprise en faveur de la mixité des parcours professionnels, de la promotion des femmes et de la correction d’éventuels écarts non justifiés de rémunération. les parties signataires conviennent que le budget décidé dans le cadre du présent accord pourra être revu annuellement article 3 – participation au titres-restaurant pour information, le gie bnp paribas cardif s’engage, à porter la valeur faciale du titre-restaurant à 9,87 euros, tout en conservant sa prise en charge à hauteur de 60 %, soit 5.92 euros. sous réserve de délai technique de mise en œuvre, cette évolution interviendrait à compter des droits attribués au titre du mois de décembre 2022. ",
"accord. politique salariale : article 1 - augmentation moyenne des salaires de base   les augmentations salariales prennent en compte deux facteurs : l’évaluation de la contribution de l’année 2022 le positionnement salarial par rapport au marché   2 – l’augmentation moyenne des salaires de base pour le prochain exercice de revue salariale sera de 3,5 % (hors rémunération variable) pour 2023. il est à noter que dans le cas où un collaborateur ne répond pas aux attentes de son manager ni de l’organisation, ce dernier pourrait ne pas bénéficier d’une augmentation. article 2 - prime de partage de la valeur avec une année 2022 toujours difficile en raison de la pandémie, et pour répondre aux effets conjoncturels de l’inflation, il a été décidé d’octroyer une prime de partage de la valeur. cette prime sera d’un montant de 3.000€ brut  (trois mille euros).",4.0
"augmentation collective une augmentation collective de 3,00% est attribuée à tous les salariés présents dans l’entreprise au 28 février 2023 (hors suspension de contrat ou congé de reclassement), dont l’ancienneté est supérieure à 6 mois au 31 décembre 2022 et dont la rémunération annuelle 2022 (comprenant la rémunération fixe, 13ème mois, prime d’ancienneté, prime, part variable) est inférieure ou égale à 80 000€ bruts. l’application de cette mesure sera portée sur le bulletin de salaire de février 2023 avec effet rétroactif au 1er janvier 2023. article 3 : engagement d’augmentation de la masse salariale globale et de versement des primes et parts variables a poste équivalent et hors promotion, lagardère ressources s’engage à consacrer aux révisions salariales individuelles une enveloppe budgétaire équivalente à 3,00% de la masse salariale globale (rémunération fixe, primes d’ancienneté, primes et parts variables comprises). la répartition de l’enveloppe budgétaire se fera au prorata de la masse salariale de chaque service. elle continuera à veiller à ce que l’ensemble des catégories socioprofessionnelles puissent bénéficier équitablement de l’enveloppe budgétaire. les décisions seront prises d’ici la fin du mois de février et seront appliquées sur la paie de février 2023 avec effet rétroactif au 1er janvier 2023.    ",3.0
"accord collectif relatif à la négociation annuelle obligatoire dispositions concernant les salaires effectifs, le temps de travail et le partage de la valeur ajoutée des salariés de la société grf pour l'année 2023 conformément à la législation relative à la négociation collective dans l'entreprise, la société grf groupe randstad france 276 rue du président wilson 93210 saint denis, siret 702028234, a rencontré les organisations syndicales représentatives : le syndicat cfdt représenté par m. le syndicat cftc représenté par m. le syndicat cfe-cgc représenté par m. dans le cadre de la négociation annuelle obligatoire dans l'entreprise pour l'année 2023, lors de 3 réunions qui se sont tenues le 5 octobre 2022, le 20 octobre 2022 et le 9 novembre 2022. tenue des réunions lors de la première réunion, la direction a présenté les éléments chiffrés habituels sur les données sociales, qui avaient été adressés en amont. elle a ensuite répondu aux questions posées par les organisations syndicales et noté les demandes d’informations complémentaires. lors de la deuxième réunion, la direction a apporté des réponses aux demandes d’informations complémentaires, des documents ayant là encore été adressés entre les deux réunions. les organisations syndicales ont ensuite fait connaître leurs revendications à l’occasion d’un tour de table. au cours de la troisième réunion, les échanges ont été très nourris, et ont permis d’aboutir à un accord sur les éléments suivants, applicables à compter du 1er janvier 2023. contenu de l’accord mesures salariales : compte tenu de la situation économique très particulière et du niveau d’inflation que subissent tous les salariés, il a été décidé d’accorder : une augmentation générale de 4% pour tous les salariés ayant 12 mois d’ancienneté au 1er janvier 2023, à l'exception des apprentis et contrats de professionnalisation, avec une augmentation minimale de 1000 € / an pour un temps plein, une enveloppe de primes exceptionnelles, pour un montant de 80 k€ bruts pour laquelle une note de cadrage sera adressée autres mesures : une revalorisation de la valeur faciale des tickets restaurant de 9€ à 9,50€, une revalorisation de la contribution employeur au restaurant d’entreprise de 1,07 à 1,17€ le maintien hors enveloppe des cesu aux conditions existantes, le maintien de la journée de solidarité le lundi de pentecôte. durée et entrée en vigueur de l’accord le présent accord est conclu pour une durée déterminée de un an. il entrera en vigueur au lendemain de son dépôt étant précisé que les mesures qui y figurent entrent en vigueur au 1er janvier 2023",4.0
"salariés cadres  il est rappelé que les salariés relevant du statut cadre au sein de la société refresco france bénéficient du système d’augmentation individualisée, gérées par la direction des ressources humaines avec les directeurs de chaque fonction, en fonction du marché et du champ des responsabilités des collaborateurs.  au 1er janvier 2023, l’enveloppe globale des augmentations individuelles est fixée à 5% de la masse salariale.   3.2. salariés non-cadres  concernant les salariés non-cadres, les parties ont convenu une enveloppe globale d’augmentation du salaire de base de 4,4% de la masse salariale.  la répartition de cette augmentation diffère selon deux catégories de population : population soumise à augmentation générale (ag) : concerne tous les salariés hors rfs, statuts ouvriers, employés, techniciens et agents de maîtrise, ne relevant pas de la population bénéficiant exclusivement d’une augmentation individualisée, population soumise à augmentation individuelle (ai) : concerne tous les salariés de rfs, ainsi que les salariés des autres établissements, ne relevant pas de l’augmentation générale.      3.2.1 population soumise à l’augmentation générale (ag)   3.2.1.1. augmentation générale  au 1er janvier 2023, une augmentation de 4% sera appliquée au salaire de base de tous les salariés relevant de la population soumise à ag.  3.2.1.2. augmentation individuelle complémentaire  pour la population bénéficiant de l’augmentation générale ci-dessus, la direction souhaite réserver aux plus méritants une enveloppe de 0,4% de la masse salariale pour réaliser des augmentations individuelles. les changements d’échelon ne viendront pas impacter ce budget.   3.2.2 population soumise à l’augmentation individuelle (ai)  pour la population non-cadre soumise à l’ai, les parties se sont mises d’accord sur une individualisation des augmentations de salaire à hauteur d’un budget de 4,4% de la masse salariale.  la direction renouvelle sa volonté de réserver l’enveloppe totale de 4,4% pour réaliser des augmentations individuelles du personnel non-cadre. hormis les salariés ayant intégré l’entreprise au cours du second semestre de l’année 2022, chaque salarié concerné se verra octroyer une augmentation minimum de 2% de son salaire de base.",3.0
"revalorisation collective des rémunérations pour 2023  les parties ont convenu d’une augmentation collective générale de salaires accordée aux salariés de l’ues fbd, toute catégorie professionnelle confondue, engagés avant le 1er juillet 2022,                             à hauteur de 5,6 % de leur salaire de base mensuel brut.  cette augmentation prendra effet à compter du mois de janvier 2023.  cette revalorisation de salaire collective ne peut pas se cumuler avec les éventuelles augmentations conventionnelles prévues par la convention collective nationale du négoce de l’ameublement, actuellement appliquée au sein de l’ues fbd.    ",5.5
"le présent accord prévoit : une prime collective permettant aux salariés de bénéficier, pour 2023, d’un effet de trésorerie immédiat ; et d’accorder, aux bénéficiaires de cette prime, une augmentation collective, au 1er avril 2023, calculée sur la ragb au 1er janvier 2023. a ces mesures s’ajoutent deux dispositifs : l’un répond à l’attention particulière accordée à l’égalité professionnelle entre les femmes et les hommes par l’attribution d’un budget dédié ; l’autre bénéficiant au plus grand nombre des salariés pour accompagner l’impact sur leur vie personnelle des modes d’organisation du travail. au-delà de ces mesures collectives, la direction indique vouloir maintenir un budget consacré en 2023 aux augmentations individuelles. celui-ci sera, a minima, comme en 2022, de 1,5% de la masse salariale sgpm et d’au moins de 2 % pour bddf afin de prendre en compte le contexte de transformation. article 1 – prime exceptionnelle de partage de la valeur beneficiaires les salariés exerçant au sein des établissements métropolitains de sgpm, liés à l’entreprise par un contrat de travail à la date de versement de la prime exceptionnelle, et dont la rémunération annuelle brute au 1er janvier 2023 est inférieure ou égale à 80 000 € sont concernés par la présente mesure. le plafond de la rémunération annuelle brute de 80 000 € est apprécié en tenant compte de la rémunération annuelle de base contractuelle (ragb) y compris la prime pérenne d’intégration prévue à l’article 3.3. de l’accord du 20 septembre 2021 ; celle-ci évoluant comme la ragb. cette mesure concerne également, dans les mêmes conditions, les salariés sgpm détachés en france et à l’étranger. montant le montant de la prime est de 1 700 € brut. article 2 – augmentation collective les salariés sgpm ayant bénéficié de la prime de partage de la valeur en 2023, hors contrat d’alternance, bénéficieront d’une augmentation de leur ragb qui s’opérera au 1er avril 2023, concomitamment aux augmentations individuelles, sous réserve : d’être rémunéré, par sgpm, à solde entière ou à demi-solde. le montant de cette augmentation se calculera comme suit : augmentation de 3 % de la ragb appréciée au 1er janvier 2023 pour les salariés dont la rémunération annuelle brute (ragb) est inférieure ou égale à 60 000 € brut ; augmentation de 2 % de la ragb appréciée au 1er janvier 2023 pour les salariés dont la rémunération annuelle brute (ragb) est supérieure à 60 000 € et inférieure ou égale à 80 000 € brut. le montant plancher de cette augmentation est de 1 000 € brut pour un salarié à temps plein. ",2.5
"accord relatif aux salaires effectifs 2023 a groupama paris val de loire n°108-2022 du 9 novembre 2022 entre la caisse régionale d’assurances mutuelles agricoles paris val de loire, dont le siège social est situé 1 bis avenue du docteur ténine, cs 90064, 92184 antony cedex, et domiciliée pour les présentes 60 boulevard duhamel du monceau, cs 10609, 45166 olivet cedex, représentée par , directeur général d'une part, et les organisations syndicales représentatives ci-après désignées : confédération française démocratique du travail (cfdt), confédération générale du travail (cgt), syndicat national de l'encadrement et des employés de la mutualité agricole (cgc sneema), union nationale des syndicats autonomes (unsa), d'autre part, preambule dans le prolongement de l’accord du 28 octobre 2022 entre l’udgs et des organisations syndicales représentatives majoritaires au plan national, suite aux réunions de négociation sur la rémunération, le temps de travail et la répartition de la valeur ajoutée, qui se sont déroulées le 27 octobre 2022 et le 4 novembre 2022 au sein de groupama paris val de loire, et afin de favoriser une politique contractuelle, il a été décidé ce qui suit : article 1 : augmentation du salaire de fonction tout salarié des classes 1 à 7 présent à l’effectif de l’entreprise au 1er janvier 2023 et ayant au minimum 6 mois d’ancienneté à cette même date, bénéficiera d’une augmentation générale de 4 % de son salaire de fonction à taux plein assorti d’un montant minimum annuel fixé à 1500 € bruts à taux plein. cette mesure fera l’objet d’une proratisation pour les salariés à temps partiel. cette augmentation et sa valeur minimale intègrent l’augmentation des salaires de fonction et la valeur minimale prévues à l’accord udsg du 28 octobre 2022, et ne viennent pas se cumuler à ces dispositions. cette augmentation qui vient majorer d’autant le salaire de fonction au 1er janvier 2023 est prise en compte lors des comparaisons du salaire de fonction avec le salaire minimal de fonction. cette augmentation s’applique au 1er janvier 2023 sur le salaire de fonction, avant le passage d’une éventuelle augmentation individuelle et d’une éventuelle réintégration d’une part de la rémunération variable dans le salaire fixe. article 2 : enveloppe budgétaire allouée aux augmentations individuelles il est alloué pour l’exercice 2023 une enveloppe minimale de 1,2% de la masse salariale des salariés en cdi au 31/12/2022, hors agents de direction, hors allocation d’éducation et sursalaire familiale, et hors indemnités de départ quelle qu’en soit la nature, pour l’attribution d’augmentations individuelles au cours de l’exercice 2023. ",
