text,label
"evolution des salaires de base : enveloppe budgétaire : il est convenu entre les parties que l’enveloppe budgétaire consacrée à l’évolution des salaires de base des collaborateurs répondant aux attentes du poste, et remplissant par ailleurs les autres conditions habituelles d’éligibilité à une augmentation, représentera 5,8% de la masse salariale. de fait, les primes exprimées en pourcentage du salaire de base augmenteront ainsi en même temps que le salaire des collaborateurs concernés. pour rappel, conformément à la politique salariale d’eli lilly & cie, le superviseur prend une décision quant à l’évolution du salaire de base de son collaborateur dans son échelle, en prenant en considération : sa performance sur l’année sa performance dans la durée* la performance des collègues situés au même niveau de poste le rapport entre sa position dans l’échelle de salaire et sa performance dans la durée (*à partir de 2023, un collaborateur ne répondant pas aux attentes ( non éligibles)  pourrait néanmoins bénéficier d’une augmentation de salaire pouvant aller jusqu’à 50% du maximum de la fourchette prevue pour son quintile, et percevra la moitié de son variable)  mesure exceptionnelle : les collaborateurs répondant aux attentes du poste, qui remplissent les conditions d’éligibilité à une augmentation du salaire de base, et qui sont présents au 1er avril 2023, bénéficieront d’une garantie d’augmentation du salaire de base de 1300€ bruts pas an. les collaborateurs éligibles ne pouvant bénéficier du montant total de cette mesure, car atteignant le plafond de leur échelle, se verront verser le complément sous forme de prime. le montant de l’augmentation sera proraté pour les collaborateurs à temps partiels. date d’application : les évolutions de salaire prévues au présent article seront applicables au 1er mars 2023. article 2 : prime exceptionnelle pour les collaborateurs dont la position dans l’échelle est égale ou supérieure à 1,25 de leur échelle : pour les collaborateurs justifiant d’une présence effective de 3 mois minimum en 2022, présents au 1er avril 2023, répondant aux attentes du poste et dont la position dans l’échelle est supérieure à 1,25, une prime de 1300 € bruts sera versée en mars 2023. ce montant sera proraté pour les collaborateurs à temps partiels. article 3 : promotions et ajustements : en 2023, l’évolution professionnelle des collaborateurs reste une priorité. ainsi, 0,3% de la masse salariale sera consacrée aux promotions et ajustements. ",6.5
"dispositions au regard de l’implication de tous les collaborateurs en 2022,  les représentants de la cfdt et  la direction se sont entendus sur les dispositions suivantes qui seront appliquées au plus tard sur la paie du mois d’avril 2023 :  une augmentation générale pour tous les salariés éligibles* selon les modalités suivantes : pour les salaires jusqu’à 2 000€ bruts par mois inclus, une augmentation de +80€ bruts par mois (1) pour les salaires supérieurs à 2 000€ bruts par mois, une augmentation de +60€ bruts par mois (1) une enveloppe de 0,7% de la masse salariale pour des augmentations individuelles proposées par les managers et validées par la direction générale également, une révision de la grille de salaires applicable avec un salaire minimum de 1 800€ bruts par mois pour un temps plein sans condition d’éligibilité**. *ces dispositions s’appliquent aux collaborateurs éligibles présents à l’effectif au 31/12/2021 et présents au moment du versement, hors contrats en alternance dont le salaire est indexé sur le smic. ** l’application des 1 800€ se fera après l’intégration des dispositions d’augmentations pour les salariés éligibles à l’augmentation générale. (1) le montant d’augmentation générale correspond à un temps plein pour un salarié payé sur 13 mois. en complément de ces dispositions, la direction a pris l’engagement d’ouvrir une discussion sur la prime de partage de la valeur fin du 1er trimestre 2023.    ",
"cet accord prévoit les dispositions suivantes : augmentation générale de 3% du salaire mensuel de fonction à taux plein, assorti d’un montant minimum annuel fixé à 1000 € bruts à taux plein, pour tout salarié des classes 1 à 7 présent dans les effectifs de l’entreprise au 1er janvier 2023 et ayant au minimum 6 mois d’ancienneté à cette même date ; revalorisation des salaires minimum de fonction : classe 1 : augmentation de 9%, soit un smf de 21 953€ classe 2 : augmentation de 5%, soit un smf de 22 491€ classe 3 : augmentation de 4%, soit un smf de 24 832€ classe 4 : augmentation de 4%, soit un smf de 29 474€ classe 5 : augmentation de 3%, soit un smf de 34 421€ classe 6 : augmentation de 2%, soit un smf de 44 561€ classe 7 : augmentation de 2%, soit un smf de 59 548€ revalorisation des montants minimum prévus à l’article 21 de l’ang relatif à la revalorisation individuelle du salaire de fonction : le montant minimum mensuel de 51 € bruts est porté à 55 € bruts pour les salariés non- cadres. le montant minimum mensuel de 82 € bruts est porté à 86 € bruts pour les salariés cadres. revalorisation des montants minimum prévus à l’article 23 de l’ang relatif aux garanties en cas de passage dans une classe supérieure : le montant minimum mensuel de 51 € bruts est porté à 55 € bruts pour les salariés non-cadres. le montant minimum mensuel de 82 € bruts est porté à 86 € bruts pour les salariés cadres. en complément des dispositions couvrant l’udsg, la direction et les organisations syndicales se sont réunies le 25 octobre 2022 dans le cadre de la négociation annuelle obligatoire sur les salaires, au titre de l’année 2023, pour groupama nord-est. mesure salariale d’entreprise pour 2023 tout salarié des classes 1 à 7 présent dans les effectifs de l’entreprise au 1er janvier 2023 et ayant au minimum 6 mois d’ancienneté à cette même date, bénéficiera d’une augmentation générale de 4,5% de son salaire mensuel de fonction à taux plein au 31 décembre 2022. l’augmentation générale de 4,5% tient compte de l’augmentation générale de 3% prévue à l’article 1 de « l’accord dans le cadre de la commission nationale de négociation sur les salaires au titre de l’année 2023 », signé le 28 octobre 2022. cette augmentation est assortie : d’un montant minimum annuel fixé à 1200 € bruts à taux plein ; d’un montant maximum fixé à 2 500 € bruts à taux plein. ",3.0
"  mesures relatives a la remuneration des salaries  augmentation des salaires les parties conviennent d’une augmentation des salaires de 4,92% de la masse salariale brute. l’enveloppe prévue à cet effet sera répartie entre augmentation générale et augmentation individuelle.  augmentation générale par paliers : une enveloppe de 3,79% de la masse salariale brute est réservée pour revaloriser les salaires de l’ensemble des salariés présents dans la société au 30 juin 2022 selon les paliers ci-dessous et ce, afin de favoriser les plus bas salaires dans un contexte inflationniste :    pour tenir compte du contexte exceptionnel de la fin d’année 2022, les collaborateurs dont le salaire est strictement inférieur à 2800€ bruts mensuels bénéficieront d’une application rétroactive au 1er septembre 2022. les salariés dont le salaire est supérieur ou égal à 5000€ bruts mensuels ne sont pas éligibles à l’augmentation générale.  augmentation individuelle :  une enveloppe spécifique de 1,13% de la masse salariale globale brute sera dédiée pour récompenser la performance individuelle des collaborateurs dont le salaire de base mensuel brut est supérieur ou égal à 2800€; cette population est donc éligible à une augmentation individuelle moyenne de 1,5% en complément de la mesure collective associée le cas échéant.  tickets restaurants : la valeur faciale est portée à 9,70€ (60% entreprise – 40% salarié).  primes de masque: mise en place d’une compensation forfaitaire de 11€ bruts à la demi-journée dès lors qu’un masque (étanche ventilé, heaume, avec cartouche) est porté en chantier pendant au moins 1 heure. sur une même journée de travail, cette compensation est limitée à 2 forfaits maximum par jour.   primes d’astreintes : par souci d’harmonisation, les montants pour les astreintes « siège et antenne » sont revalorisées à : etam : 39 euros bruts cadre : 46 euros bruts    indemnité de grand déplacement (igd): le bénéfice de la prime complément gd étant automatique à chaque versement d’une igd, désormais ces deux éléments seront regroupés. le montant de l’igd globale avec repas au 1er janvier 2023 sera donc revu comme suit : (ces éléments sont soumis aux exonérations sociales et fiscales selon le barème urssaf applicable chaque année)",3.5
"proces verbal de la reunion nao  du 2 décembre 2022 de 14h15 à 15h00 date de rédaction : 2 décembre 2022 etaient présents :       ds cgt    ds cfdt   cfdt  responsable rh  chef d’entreprise                     lieu des négociations  salle de réunion entreprise      rappel des propositions du chef d’entreprise  suite à la réunion précédente et aux demandes formulées dans les deux documents remis par les représentants syndicaux, le chef d’entreprise propose : : une augmentation moyenne de la masse salariale de 6,5 % incluant les promotions et sans mise en place de talon, le chef d’entreprise s’engage à ce qu’aucun salaire mensuel brut ne soit inférieur à 2000 € et prend en charge cet effort complémentaire sous réserve d’un accord signé, la mise en place d’une prime de transport de 200 € avant la fin 2022 et de 400€ en mars 2023, la revalorisation du ticket restaurant à 9,87 €, la revalorisation des ipd à hauteur du % négocié par la frtp qui devrait être connu début 2023, la revalorisation de nos primes à hauteur de 4,5 %.   retour d’avis des organisations syndicales :  les syndicats cgt et cfdt après réflexion prennent acte de ces propositions et donnent leur accord sur les propositions faites par le chef d’entreprise. la direction prend acte de la fin des négociations sur ses propositions pour la négociation annuelle obligatoire pour les ouvriers/etams/cadres pour.  publicité conformément aux dispositions de l’article l2242-4 du code du travail, le présent procès-verbal sera déposé en deux exemplaires (dont une version électronique) auprès de la direccte et en un exemplaire auprès du secrétariat greffe du conseil des prud’hommes.  le 02/12/2022,  fin de la réunion à 15h00.       pour la cfdt      pour l’entreprise monsieur    monsieur      pour la cgt        monsieur         ",5.5
"  a l'issue de la négociation annuelle obligatoire prévue aux articles l2242-1 et suivants du code du travail, il a été convenu ce qui suit entre :  la société ratier-figeac, représentée par xxx en sa qualité de directeur des ressources humaines, d'une part ;  les organisations syndicales cfdt, cfe-cgc, cgt, d'autre part. champ d’application de l’accord  le présent accord s'applique à l'ensemble du personnel en contrat à durée indéterminée et en contrat à durée déterminée travaillant dans l'entreprise ratier-figeac au 1er janvier 2023. dernieres propositions de la direction, objet de l’accord salaires  pour les salariés non-cadres : - augmentation générale au 1er janvier 2023 : 3% - augmentations individuelles au 1er janvier 2023 : 1,5% pour les salariés cadres : augmentations individuelles au 1er janvier 2023 : 4,5% il est en outre convenu que : -les primes d’astreinte et les taux horaire en intervention seront indexés sur l’augmentation globale de la masse salariale, à savoir 4,5%. -les primes d’équipe, de nuit, vsd, seront réévaluées à hauteur de 3%.",4.5
"accordarticle 1 : mesures d’augmentation des salaires 1.1 la mise en place d’un budget global au moins égal à 5% de la masse salariale de référence fixée au 1er janvier 2023. 1.2 répartition de l’enveloppe budgétaire  la répartition de l’enveloppe budgétaire se fera en deux enveloppes distinctes. la première pour la catégorie des salariés etam, et la seconde pour la catégorie des salariés ic.  1.2.1 augmentations générales et individuelles une augmentation générale de 100 euros bruts mensuels est garantie à l’ensemble des salariés en cdi de l’entreprise présents au 28 février 2023, et arrivés dans l’entreprise au plus tard le 31 août 2022. en conséquence, une enveloppe d’augmentations est consacrée aux mesures individuelles, différenciée selon les catégories ic et etam, et égale à la différence entre l’enveloppe totale d’augmentations (5% de la masse salariale de la catégorie au 1er janvier 2023) et l’enveloppe d’augmentations générales (100 euros bruts mensuels multipliés par 13 et multipliés par le nombre de salariés éligibles à cette mesure). a titre indicatif (chiffres non contractuels qui dépendront précisément de la masse salariale par catégorie au 1er janvier 2023), cette enveloppe représente environ : pour les etam : budget des augmentations générales : 3.2% de leur masse salariale respective, budget des augmentations individuelles : 1.8% de leur masse salariale respective, pour les ic : budget des augmentations générales : 2.1% de leur masse salariale respective,  budget des augmentations individuelles : 2.9% de leur masse salariale respective. 1.2.2 garantie minimale d’augmentation pour les salaires inférieurs à 3000 euros bruts mensuels au 1er janvier 2023 pour les salariés cdi dont le salaire est inférieur à 3000 euros bruts mensuels au 1er janvier 2023, il est instauré une garantie d’augmentation minimale de 6.2% sur l’année 2023 venant en surplus de l’enveloppe des 5% (surplus qui sera ajouté à l’enveloppe confiée au management). cette mesure sera appliquée selon les modalités précisées à l’article 1.2.1.   1.3 mesure exceptionnelle au 1er juillet 2023 les parties conviennent de la mise en place exceptionnelle, au 1er juillet 2023, d’une augmentation générale de 1% pour tous les salariés cdi présents le 1er janvier 2023 et toujours dans les effectifs au 1er juillet 2023.  article 2 : prime de partage de la valeur  dans un contexte de forte inflation liée à l’énergie, la direction et les organisations syndicales représentatives ont souhaité limiter l’impact sur les salariés de l’entreprise en instaurant une prime de partage de la valeur, au sens de la loi n°2022-1158 du 16 août 2022 portant mesures d’urgence pour la protection du pouvoir d’achat, d’un montant de 3 000 euros par salarié.",5.0
"rappel du planning des négociations 2022 la négociation pour le site de fontaine les luxeuil s’est déroulée aux dates suivantes : 30/01/2023 07/02/2023 14/02/2023   article 2 : etat des propositions respectives des parties  2.1 les organisations syndicales a l’ouverture de la 1ère réunion de négociation du 30 janvier 2023, le syndicat cfdt a proposé : enveloppe pour l’augmentation générale de 6% de la masse salariale comme le prévoit l’accord artt et selon l’indice insee à novembre 2022. enveloppe au titre des augmentations individuelles de 3% de la masse salariale  a la seconde réunion de négociation du 07 février 2023, le syndicat cfdt a proposé : enveloppe pour l’augmentation générale de 4% de la masse salariale enveloppe au titre des augmentations individuelles de 2% de la masse salariale  a la troisième réunion de négociation du 14 février 2023, le syndicat cfdt a proposé : enveloppe pour l’augmentation générale de 4% de la masse salariale enveloppe au titre des augmentations individuelles de 3% de la masse salariale  2.2 la direction a l’ouverture de la 1ère réunion de négociation du 30 janvier 2023, la direction n’a pas établi de proposition. a la seconde réunion de négociation du 07 février 2023, la direction a proposé : 3,5% de la masse salariale pour l’augmentation générale 2.5% de la masse salariale pour l’augmentation individuelle    article 3 : mesures applicables : accord après négociation, en date du 14 février 2023 les parties se sont mises d’accord sur les mesures suivantes : enveloppe globale de 4% de la masse salariale au titre des augmentations générales. enveloppe globale de 2.5% de la masse salariale au titre des augmentations individuelles.  article 4 : durée et publicité le présent accord est conclu pour l’année civile 2023 ; conformément aux articles l2261-1 et d2231-2 du code du travail, le présent accord sera déposé en deux exemplaires dont un électronique auprès des services de la ddetspp de vesoul, ainsi qu’un exemplaire auprès du greffe du conseil des prud’hommes de vesoul. en outre, un exemplaire sera remis à chaque organisation syndicale.",3.625
"accord collectif sur l'ensemble des thèmes de la négociation collective obligatoire  entre les soussignés :  la société carestia, société par actions simplifiée, au capital de 540 000 €, immatriculée au rcs de cannes sous le n° 416 050 045, code naf n° 18.12 z, dont le siège social est situé 1261 route de pégomas, zi du tiragon, 06370 mouans sartoux, représentée par  qualité de directrice générale,  d'une part,   et  l'organisation syndicale cfdt f3c représentée par son délégué syndical ,   d'autre part,   preambule  les parties se sont réunies au sein de l’établissement carestia, successivement les 9 et 16 janvier 2023.   il a été convenu le présent accord d'entreprise afin de négocier sur les thèmes prévus à l'article l. 2242-1 du code du travail, repris ci-dessous : rémunération,  temps de travail, partage de la valeur ajoutée, egalité professionnelle entre les femmes et les hommes, qualité de vie au travail  un accord a été trouvé sur l’intégralité des points évoqués.     article 4 - salaires effectifs   les salaires effectifs en vigueur dans l'entreprise à la date du 31/12/2022 évolueront dans le cadre de la politique salariale décrites selon les conditions ci-après :   la politique de rémunération permet à l’entreprise de se doter d’un système de rémunération qui incite les salariés de la société à progresser dans une démarche constante d’amélioration de leurs performances et de celles de l’entreprise, le tout dans le respect des budgets/enveloppes définis globalement au niveau du groupe et individuellement pour notre société. ainsi pour l’année 2023, il a été décidé des budgets d’augmentation de salaire définis de la façon suivante : pour les bénéficiaires de l'augmentation de 6% versée en juillet 2022 : 3% d'augmentation générale pour les autres collaborateurs n’ayant pas bénéficié de l’augmentation de 6% versée en juillet 2022 :  4% d’augmentation générale feront exceptions à cette règle : les collaborateurs entrés en cours d’année, soit après le 31 octobre 2022 les salariés absents plus de 6 mois sur l’année 2022  un budget supplémentaire a été octroyé pour les demandes spécifiques tels que les changements de fonction, de poste, de statut, travail exceptionnel, rattrapage salarial, missions additionnelles…  cette enveloppe globale n’intègre pas les primes d’implication attribuées régulièrement tout au long de l’année dues à des circonstances particulières (liées par exemple à l’implication dans le cadre de formations dispensées aux collègues de travail lors de formations internes, à la disponibilité/flexibilité, aux cadences …). les augmentations de salaire seront versées avec la paie du mois d’avril 2023, avec effet rétroactif au 1er janvier 2023.     ",5.333333333333333
"accord négociation annuelle  obligatoire anticipée pour les salaires 2023 essity operations le theil du 14 décembre 2022     entre les soussignés :   la société essity operations le theil, société par action simplifiée unipersonnelle au capital de 91.349.960 euros, dont le siège social les mesures suivantes, ont été définies dans le cadre des négociations annuelles obligatoires anticipées sur les salaires au sein de l’entreprise qui se sont finalisées le 25 novembre 2022. ces négociations ont permis d’aboutir à un accord et aux dispositions suivantes.  article 2 – augmentations salariales mise à disposition d’une enveloppe globale d’augmentation de 4% avec la répartition établie dans le tableau ci-dessous :  * pour les agents de maitrise des usines (am) : répartition entre augmentation collective et augmentation individuelle mise en œuvre, à titre tout à fait exceptionnel, exclusivement en augmentation collective, au regard du contexte économique actuel.  ** les augmentations individuelles des salaires de base seront pratiquées en fonction des résultats d’évaluation issus des entretiens individuels et du positionnement des rémunérations par rapport au marché. pour tous les cadres, ces informations, ainsi que l’enveloppe négociée, sont intégrées à l’outil workday utilisé pour la revue salariale annuelle, ou « merit process » qui sera activée en février 2023. sur la base de ces éléments l’outil workday calcule un budget d’augmentation pour chaque collaborateur de l’équipe dans le cadre de la revue annuelle des salaires. les managers directs ont la possibilité d’ajuster les propositions d’augmentation qui seront validées par leur n+2. les augmentations sont ensuite consolidées au niveau france dans le cadre d’une calibration sous la responsabilité de la drh groupe.  il est précisé que cette enveloppe des augmentations individuelles sera appliquée à tous les salariés, (hors contrats d’alternance, apprentissage, stagiaires) inscrits à l’effectif avant le 2 octobre 2022 et au moment du versement. en sont exclus les salariés ayant déjà bénéficié d’une révision de leur situation salariale à partir du 1er octobre 2022.     par ailleurs, pour tous les cadres & fdv intégrés dans le merit process, évaluées comme au-dessus du marché (« dans le marché » et « above market ») en rapport avec les enquêtes de rémunération de référence, et évaluées au niveau 3 et plus dans l’outil workday, la direction s’engage, dans le cadre de la calibration finale, à s’assurer que chacun bénéficie d’une augmentation au moins égale à 2% dans le cadre de ces augmentations individuelles.",4.0
