text,label
"dispositions au regard de l’implication de tous les collaborateurs en 2022,  les représentants de la cfdt et  la direction se sont entendus sur les dispositions suivantes qui seront appliquées au plus tard sur la paie du mois d’avril 2023 :  une augmentation générale pour tous les salariés éligibles* selon les modalités suivantes : pour les salaires jusqu’à 2 000€ bruts par mois inclus, une augmentation de +80€ bruts par mois (1) pour les salaires supérieurs à 2 000€ bruts par mois, une augmentation de +60€ bruts par mois (1) une enveloppe de 0,7% de la masse salariale pour des augmentations individuelles proposées par les managers et validées par la direction générale également, une révision de la grille de salaires applicable avec un salaire minimum de 1 800€ bruts par mois pour un temps plein sans condition d’éligibilité**. *ces dispositions s’appliquent aux collaborateurs éligibles présents à l’effectif au 31/12/2021 et présents au moment du versement, hors contrats en alternance dont le salaire est indexé sur le smic. ** l’application des 1 800€ se fera après l’intégration des dispositions d’augmentations pour les salariés éligibles à l’augmentation générale. (1) le montant d’augmentation générale correspond à un temps plein pour un salarié payé sur 13 mois. en complément de ces dispositions, la direction a pris l’engagement d’ouvrir une discussion sur la prime de partage de la valeur fin du 1er trimestre 2023.    ",1.0
"nous travaillons sur une politique de rémunération actuellement (audit en cours au sein de la société).  avantages : mettre en place d’une prime semi de 13ème mois (c.f.t.c) généraliser l'avantage de 22.11€ aux salariés travaillant de jour au titre de l'égalité de traitement (travail égal, salaire égal) (c.f.t.c) augmentation de la prime de non accident : 150€ (c.f.t.c) les jours rtt seront déposés de la même manière que les rc (c.f.t.c) fixer une prime forfaitaire de 50€ pour tout salarié effectuant 660 heures ou plus par trimestre (c.f.t.c) demande d’une prime de 10€ par trimestre pour chaque salarié en cas d’absence d’accident de travail dans l’établissement (c.f.t.c) augmentation des salaires de base de 4% suite à l’inflation (moyenne prix à la consommation sur 2022 est 5.8% d’après l’insee à juin 2022) (c.f.e / c.g.c) prime de partage de la valeur de 500€ versée à la fin de l’année pour les salariés (c.f.e / c.g.c) la direction répond défavorablement à l’ensemble de ces propositions. prise en charge des tickets restaurant à hauteur de 60% par l’entreprise (c.f.e / c.g.c) a partir du 01/01/2023 : l’employeur cotisera à hauteur de 59,20 % soit 5.92€ par ticket restaurant d’une valeur faciale de 10 € le salarié cotisera à hauteur de 40,80 % soit 4.08€ par ticket restaurant d’une valeur faciale de 10 € prime astreinte sédentaires pour les weekends et jours fériés de 100€ par jour ou paiement des heures effectuées (c.f.e / c.g.c) la direction répond défavorablement égalité professionnelle : égaliser la rémunération brute entres salariés de la même catégorie (c.f.t.c) la rémunération conventionnelle est déjà égalisée entre hommes et femmes. nous espérons ainsi contenir l’augmentation aux alentours de 8% (hors pmss) pour le contrat principal du groupe jardel non cadre. les résultats de cet appel d’offre seront connus avant la fin du mois de décembre 2022.          ",500.0
"negociation annuelle 2023. article 1 –prime de partage de la valeur 2022. 1.1. bénéficiaires  les collaborateurs bénéficiant de la prime exceptionnelle de partage de la valeur sont tous les salariés qui, cumulent les conditions suivantes : en cdi et cdd présents à la date du dépôt de l’accord et pour les collaborateurs sédentaires : dont le salaire de base mensuel est inférieur ou égal à 3 500€ bruts. 1.2 : montant, modulation et date de versement de la prime partage de la valeur  le montant de la prime est égal à 600 € (six cents euros). article 2 – mesures relatives aux rémunérations 2023  les rémunérations seront augmentées de la façon suivante :  collaborateurs oetam (groupes 1 à 5)  pour les collaborateurs des groupes 1 à 3 :  augmentation générale : au 1er janvier 2023, les salaires effectifs seront augmentés de 4 % avec un plancher de 80 euros bruts. pour les collaborateurs des groupes 4 et 5  augmentation générale : au 1er janvier 2023, les salaires effectifs seront augmentés de 3,5 % avec un plancher de 80 euros bruts.  augmentation individuelle : au 1er avril 2023, une enveloppe correspondant à 0,5% de la masse des salaires effectifs mensuels bruts de base de décembre 2022 sera consacrée aux augmentations individuelles. pour les cadres sédentaires du groupe 6 : augmentation générale : au 1er avril 2023, les salaires effectifs seront augmentés de 2 %. l’augmentation générale portera sur le salaire effectif mensuel brut de base de mars 2023.   augmentation individuelle : au 1er avril 2023, une enveloppe correspondant à 2% de la masse des salaires effectifs mensuels bruts de base de décembre 2022 sera consacrée aux augmentations individuelles. pour les cadres (groupes 7 à 10 inclus) animateurs et directeurs régionaux :  augmentation individuelle : au 1er avril 2023, une enveloppe correspondant à  3,5 % de la masse des salaires effectifs mensuels bruts de base de décembre 2022 sera consacrée aux augmentations individuelles. une enveloppe complémentaire représentant 0,5% de la masse salariale annuelle brute des cadres groupes 7 et plus, évaluée au 31 décembre 2022, sera affectée à la mise en place de la politique bonus pour les cadres groupe 7 et 8. pour les reseaux augmentation générale : au 1er janvier 2023, les salaires effectifs seront augmentés de 3,5 %, avec un plancher de 80 euros bruts, à l’exception du personnel à temps partiel pour lequel le plancher est proratisé en fonction du taux d’activité. l’augmentation générale portera sur le salaire effectif mensuel brut de base de décembre 2022.  augmentation individuelle : au 1er avril 2023, une enveloppe correspondant à 0,5 % de la masse des salaires effectifs mensuels bruts de base de décembre 2022 sera consacrée aux augmentations individuelles.",600.0
"accord. politique salariale : article 1 - augmentation moyenne des salaires de base   les augmentations salariales prennent en compte deux facteurs : l’évaluation de la contribution de l’année 2022 le positionnement salarial par rapport au marché   2 – l’augmentation moyenne des salaires de base pour le prochain exercice de revue salariale sera de 3,5 % (hors rémunération variable) pour 2023. il est à noter que dans le cas où un collaborateur ne répond pas aux attentes de son manager ni de l’organisation, ce dernier pourrait ne pas bénéficier d’une augmentation. article 2 - prime de partage de la valeur avec une année 2022 toujours difficile en raison de la pandémie, et pour répondre aux effets conjoncturels de l’inflation, il a été décidé d’octroyer une prime de partage de la valeur. cette prime sera d’un montant de 3.000€ brut  (trois mille euros).",3.0
"le présent accord prévoit : une prime collective permettant aux salariés de bénéficier, pour 2023, d’un effet de trésorerie immédiat ; et d’accorder, aux bénéficiaires de cette prime, une augmentation collective, au 1er avril 2023, calculée sur la ragb au 1er janvier 2023. a ces mesures s’ajoutent deux dispositifs : l’un répond à l’attention particulière accordée à l’égalité professionnelle entre les femmes et les hommes par l’attribution d’un budget dédié ; l’autre bénéficiant au plus grand nombre des salariés pour accompagner l’impact sur leur vie personnelle des modes d’organisation du travail. au-delà de ces mesures collectives, la direction indique vouloir maintenir un budget consacré en 2023 aux augmentations individuelles. celui-ci sera, a minima, comme en 2022, de 1,5% de la masse salariale sgpm et d’au moins de 2 % pour bddf afin de prendre en compte le contexte de transformation. article 1 – prime exceptionnelle de partage de la valeur beneficiaires les salariés exerçant au sein des établissements métropolitains de sgpm, liés à l’entreprise par un contrat de travail à la date de versement de la prime exceptionnelle, et dont la rémunération annuelle brute au 1er janvier 2023 est inférieure ou égale à 80 000 € sont concernés par la présente mesure. le plafond de la rémunération annuelle brute de 80 000 € est apprécié en tenant compte de la rémunération annuelle de base contractuelle (ragb) y compris la prime pérenne d’intégration prévue à l’article 3.3. de l’accord du 20 septembre 2021 ; celle-ci évoluant comme la ragb. cette mesure concerne également, dans les mêmes conditions, les salariés sgpm détachés en france et à l’étranger. montant le montant de la prime est de 1 700 € brut. article 2 – augmentation collective les salariés sgpm ayant bénéficié de la prime de partage de la valeur en 2023, hors contrat d’alternance, bénéficieront d’une augmentation de leur ragb qui s’opérera au 1er avril 2023, concomitamment aux augmentations individuelles, sous réserve : d’être rémunéré, par sgpm, à solde entière ou à demi-solde. le montant de cette augmentation se calculera comme suit : augmentation de 3 % de la ragb appréciée au 1er janvier 2023 pour les salariés dont la rémunération annuelle brute (ragb) est inférieure ou égale à 60 000 € brut ; augmentation de 2 % de la ragb appréciée au 1er janvier 2023 pour les salariés dont la rémunération annuelle brute (ragb) est supérieure à 60 000 € et inférieure ou égale à 80 000 € brut. le montant plancher de cette augmentation est de 1 000 € brut pour un salarié à temps plein. ",350.5
"augmentations générales les parties réaffirment leur volonté mutuelle de préserver le pouvoir d’achat, en procédant à une augmentation générale de 3,2 % sur le salaire du mois de janvier 2023. il est précisé que ce taux a été obtenu en intégrant, pour cette année uniquement et à titre très exceptionnel, la quote-part du budget consacré aux augmentations individuelles. cette augmentation générale ne concerne que les salariés classés jusqu’au niveau 14 h inclus, hors membres du cde. article 2 : augmentation connexe de la grille de salaire concomitamment, les parties ont souhaité augmenter la grille de salaire, de manière différenciée et comme suit : il est précisé que l’augmentation générale et l’augmentation de la grille interviendront toutes les deux sur le mois de janvier 2023. ce double niveau d’augmentation se matérialisera par l’application de l’augmentation générale dans un premier temps puis, le cas échéant, dans un second temps, par l’application de la nouvelle grille. article 3 : prime de naissance le montant de la prime de naissance prévue à l’article 11.1.2.b du chapitre iv de l’accord d’entreprise est également augmenté de 3,2 % et est ainsi porté à 350,62 € au 1er janvier 2023. article 4 : astreintes le montant de la compensation financière prévue à l’article 6.5.7.a du chapitre 4 de l’accord d’entreprise est également augmenté de 3,2 % et est ainsi fixée comme suit, au 1er janvier 2023 : article 5 : indemnités diverses les parties sont également convenues des ajustements suivants à effet au 1er janvier 2023 : indemnité télétravail portée à 2,5 €. ce montant sera en tout état de cause plafonné mensuellement au regard de la tolérance urssaf en vigueur ; augmentation de 20 % de la prise en charge des frais de repas article 6 : augmentation de la prime de partage de la valeur : les parties sont également convenues de porter à 1500 € le montant de la prime de partage de la valeur. pour ce faire, un avenant de révision à notre accord du 18 octobre sera signé le 15 novembre prochain. cet avenant portera le montant global de la prime à 1 500 €, sans en modifier les conditions d’attribution, et prévoira un versement en deux temps : 1 000 € avec la paie du mois de novembre 2022, tel que prévu initialement par notre accord du 18 octobre 2022 sur le versement d’une prime de partage de la valeur ; 500 € avec la paie du mois de janvier 2023. 6.2 : forfait mobilité durable : les parties sont également convenu d’allouer un budget de 0,28 % de la masse salariale à un forfait mobilité durable (fmd). ce forfait sera mis en place dans le cadre de la négociation loi orientation mobilité actuellement en cours. ce budget dédié intègre les 0,13% correspondant à notre prime de transport",667.0
"negociation annuelle obligatoire. dans le cadre de la négociation, la délégation syndicale a présenté les revendications suivantes : revalorisation générale des salaires compte tenu du contexte de forte inflation une revalorisation généralisée de tous les salaires sur la base de 5% de la masse salariale pour l'année 2023 est demandée. cette revalorisation de 5% pourrait être inégalement réparti entre les salariés et bénéficier prioritairement au plus bas salaires (etam notamment). augmentation individuelle des salaires. un pourcentage de la masse salariale destiné aux augmentations individuelles au moins égal à 2,75% pour l'année 2023. une même moyenne d'augmentations individuelles pour les salariés avec signal réussite que les autres salariés. enveloppe complémentaire spécifique un pourcentage de 0,5% de la masse salariale destiné à réaliser des mesures d’augmentations individuelles spécifiques destiné à corriger d’éventuels écarts non justifiés. il a été arrêté et convenu ce qui suit : article i. – rémunération, partage de la valeur ajoutée dans l'entreprise i- augmentation: enveloppe performance pour 2023, le budget alloué à l’enveloppe des augmentations individuelles salariales est de 2% de la masse salariale. l’augmentation de salaire doit être déterminée en fonction de la performance globale du collaborateur. la performance globale s’apprécie en fonction du niveau du collaborateur sur l’ensemble des compétences attachées à son poste d’une part et de l’évaluation de l’année (réalisations, savoir être, progression…) d’autre part. si une augmentation est fonction de la performance globale de l’année écoulée, elle peut toutefois être pondérée en fonction du positionnement salarial dans l’emploi repère (ou équivalent) en prenant en compte l’expérience/la séniorité sur la fonction. enveloppe complémentaire spécifique il est prévu une enveloppe complémentaire de 0,5% de la masse salariale destinée à réaliser des mesures d’augmentations individuelles spécifiques et ciblées répondant aux trois objectifs suivants : corriger d’éventuels écarts non justifiés femmes/hommes. retenir certaines compétences rares et/ou difficiles à capter sur un marché de l’emploi dynamique. corriger des écarts significatifs de salaire au sein d’emplois repères équivalents non justifiés au regard de l’expérience et de la performance d’un collaborateur. l’utilisation de cette enveloppe sera strictement encadrée par la direction générale et la drh lors des revues de salaires finales. le management aura la possibilité de cibler en amont les cas nécessitant selon lui une attention particulière répondant à l’un de ces trois critères. ii- partage de la valeur  l’employeur décide de verser une « prime pouvoir d’achat » de 1500 euros bruts aux collaborateurs.",1500.0
"negociation annuelle obligatoire. prime de partage de valeur (ppv) le montant de la ppv pourra atteindre 1 mois de salaire de base contractuel à la date de versement avec un plancher de 3000€ bruts et un plafond de 6000€ bruts. personnel non-cadre rattaché aux établissements en métropole 8% augmentation générale de 5% sauf sous performance* campagne eia 2022 2 000 € bruts annuels personnel cadre rattaché aux établissements en métropole 8% augmentation générale de 3,5% sauf sous performance* campagne eia 2022 2 000 € bruts annuels personnel cadre et non cadre rattaché aux établissements de l’outre-mer (établissements secondaires de la guadeloupe, de la martinique, de la réunion et de la guyane) 8% augmentation générale de 5% sauf sous performance* campagne eia 2022 2 500 € bruts annuels ",4500.0
" présents cfe/cgc :  délégué syndical         direction :  président            secrétaire général  accord nao 2023  augmentations non cadres 7% d’enveloppe globale dont :  augmentation générale :       +4,9%  primes d’ancienneté :    +0,6% environ augmentation individuelle :  +1,5% environ garantie d’un salaire de base brut mensuel de 2000€ minimum, base plein temps, hors prime d’ancienneté et hors heures supplémentaires   cadres 7% d’enveloppe globale, dont 3,5% d’augmentation minimale garantie, sauf contre-performance  les augmentations générales et minimales garanties seront versées sur la paye de décembre 2022, avec un effet rétroactif au 1er novembre 2022.  les augmentations individuelles seront versées sur la paye d’avril 2023, avec effet rétroactif au 1er janvier 2023.  prime de partage de la valeur prime de partage de la valeur représentant 1 mois de salaire brut (hors prime d’ancienneté) avec un plancher de 3000€ et plafonné à 6000€, versée en décembre 2022. le montant sera pro-raté du temps de présence effectif chez udp, ou dans une société de la compagnie, au cours de l’année 2022. seront éligibles les collaborateurs en cdi, en cdd (y compris contrats d’apprentissage ou contrats de professionnalisation), en intérim, présents au 1er décembre 2022.  clause de revoyure février 2023 si l’inflation au 31 décembre 2022 est supérieure à 5,5%, alors la différence complètera l’augmentation générale pour les non cadres et l’augmentation minimale garantie pour les cadres. par exemple : si l’inflation au 31 décembre 2022 est de 6,5%, alors l’augmentation générale des non cadres et la garantie minimale des cadres seront augmentées de 1%. ce complément sera alors effectif sur la paie de février 2023.      autres dispositions compte tenu des résultats exceptionnels de la société, octroi d’une subvention exceptionnelle de 13 000€ au bénéfice des activités sociales et culturelles du comité social et economique, versée en 2022 pour le budget de l’année 2022.  fait en 2 exemplaires, le 10 novembre 2022 à rueil-malmaison   pour cfe/cgc         président      délégué syndical      ",4500.0
"negociations annuelles obligatoires. article 3 – salaires effectifs article 3.2 - politique salariale  pour l’année 2023, la politique salariale est la suivante ; elle intègre le coût de la mise en place du salaire minimum garanti d’entreprise de l’article 3.1 du présent accord, à savoir le passage des plus bas salaires au salaire de 1850€ bruts mensuels. elle prévoit en outre un budget de repositionnement devant permettre de traiter progressivement un éventuel tassement des grilles de salaires du fait la mise en place de ce salaire minimum.  pour les oetam :   dont le salaire est inférieur à 2 300€ mensuels bruts :   augmentation générale à compter du 1er janvier 2023 :  4,5 % y inclus le montant des 50€ buts versés en juillet 2022 dans le cadre des mesures d’anticipation des nao 2023 décidées unilatéralement le 7 juillet 2022 ;  budget d’augmentations individuelles et de repositionnement avec effet rétroactif au 1er janvier 2023 : 0,6%   l’ensemble de ces mesures (intégrant l’impact du salaire minimum garanti) représente un budget d’augmentation estimé à environ 5,8%.   dont le salaire est supérieur ou égal à 2 300€ bruts :   augmentation générale à compter du 1er janvier 2023 :  4% y inclus le montant des 50€ buts versés en juillet 2022 dans le cadre des mesures d’anticipation des nao 2023 décidées unilatéralement le 7 juillet 2022 ;  budget d’augmentations individuelles avec effet rétroactif au 1er janvier 2023 :1,1%   pour l’ensemble des oetam la dérive d’ancienneté est évaluée à 0,2% de la masse salariale. pour les cadres : budget d’augmentations individuelles versé dans l’année 2023 avec effet rétroactif au 1er janvier 2023 : 5,8% y inclus le montant des 50€ buts versés en juillet 2022 dans le cadre des mesures d’anticipation des nao 2023 décidées unilatéralement le 7 juillet 2022. article 3.3 : autres mesures salariales  promotions : les augmentations liées à des changements de poste ou de fonctions significatifs seront financées par un budget complémentaire. article 4 – prime de partage de la valeur  les parties au présent accord conviennent de conclure simultanément un accord collectif mettant en place une prime de partage de la valeur dans le cadre de la loi du 16 août 2022 portant mesures d’urgence pour la protection du pouvoir d’achat. cette prime, versée sur la paye du mois de décembre 2022, sera d’un montant d’un mois de salaire de base brut, avec un plancher de 3 000€ bruts et un plafond de 6 000 euros bruts.",2.25
